,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,UE-UE-Synchronization-0-20240511-22:47:48-3904,UseCase2.Actuator.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12500029 0.12500029 0.24999904 0.24999904 0.37499779 0.37499779 0.49999654 0.49999654 0.62499529 0.62499529 0.74999404 0.74999404 0.87499279 0.87499279 0.99999154 0.99999154 1.12499029 1.12499029 1.24998904 1.24998904 1.37498779 1.37498779 1.49998654 1.49998654 1.62498529 1.62498529 1.74998404 1.74998404 1.87498279 1.87498279 1.99998154 1.99998154 2.12498029 2.12498029 2.24997904 2.24997904 2.37497779 2.37497779 2.49997654 2.49997654 2.62497529 2.62497529 2.74997404 2.74997404 2.87497279 2.87497279 2.99997154 2.99997154 3.12497029 3.12497029 3.24996904 3.24996904 3.37496779 3.37496779 3.49996654 3.49996654 3.62496529 3.62496529 3.74996404 3.74996404 3.87496279 3.87496279 3.99996154 3.99996154 4.12496029 4.12496029 4.24995904 4.24995904 4.37495779 4.37495779 4.49995654 4.49995654 4.62495529 4.62495529 4.74995404 4.74995404 4.87495279 4.87495279 4.99995154 4.99995154],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.05057231e-05  4.43119870e-10  1.05060386e-05  4.43619750e-10  4.43119620e-10  3.67119620e-10  2.90619500e-10  3.65619500e-10  3.65119370e-10  3.67119370e-10  3.67619250e-10  3.66619250e-10  3.67119120e-10  3.67119120e-10  3.66619000e-10 -3.81000004e-13 -8.81130004e-13  1.18869997e-13  1.61875000e-12 -3.81250004e-13 -1.88138000e-12  1.18619997e-13  6.18499995e-13 -3.81500006e-13  1.18369995e-13  1.18369995e-13 -3.81750004e-13 -3.81750004e-13 -8.81880008e-13  1.18119995e-13  1.61799999e-12 -3.82000008e-13 -1.88213000e-12  1.17869995e-13  6.17749995e-13 -3.82250004e-13  1.17619995e-13  1.17619995e-13 -3.82500011e-13 -3.82500011e-13 -8.82630008e-13  1.17369991e-13  1.61724999e-12 -3.82750008e-13 -1.88288001e-12  1.17119991e-13  6.16999988e-13 -3.83000011e-13  1.16869994e-13  1.16869994e-13 -3.83250005e-13 -3.83250005e-13 -8.83380012e-13  1.16619991e-13  1.61649999e-12 -3.83500008e-13 -1.88363001e-12  1.16369987e-13  6.16249991e-13 -3.83750011e-13  1.16119991e-13  1.16119991e-13 -3.84000022e-13 -3.84000022e-13 -8.84130016e-13 -8.84130016e-13 -3.84250005e-13 -3.84250005e-13 -8.84380005e-13  1.15619991e-13  6.15499988e-13 -1.38450002e-12 -1.88463002e-12  1.15369987e-13  6.15249991e-13 -3.84750012e-13 -8.84880012e-13 -8.84880012e-13 -3.85000015e-13 -3.85000015e-13],linear,vector,UE-UE-Synchronization,20240511-22:47:48,20240511-224748,UE-UE-Synchronization,omnetpp.ini,,,,,UseCase2,3904,0,#0,results,0,0
3,UE-UE-Synchronization-0-20240511-22:47:48-3904,UseCase2.Actuator2.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.13500437 0.13500437 0.25950437 0.25950437 0.38450437 0.38450437 0.50950437 0.50950437 0.63450437 0.63450437 0.75950437 0.75950437 0.88450437 0.88450437 1.00950437 1.00950437 1.13450437 1.13450437 1.25950437 1.25950437 1.38450437 1.38450437 1.50950437 1.50950437 1.63450437 1.63450437 1.75950437 1.75950437 1.88450437 1.88450437 2.00950437 2.00950437 2.13450437 2.13450437 2.25950437 2.25950437 2.38450437 2.38450437 2.50950437 2.50950437 2.63450437 2.63450437 2.75950437 2.75950437 2.88450437 2.88450437 3.00950437 3.00950437 3.13450437 3.13450437 3.25950437 3.25950437 3.38450437 3.38450437 3.50950437 3.50950437 3.63450437 3.63450437 3.75950437 3.75950437 3.88450437 3.88450437 4.00950437 4.00950437 4.13450437 4.13450437 4.25950437 4.25950437 4.38450437 4.38450437 4.50950437 4.50950437 4.63450437 4.63450437 4.75950437 4.75950437 4.88450437 4.88450437],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.04392326e-06 -9.98347400e-08  2.70724826e-06 -9.48667400e-08 -8.98777400e-08 -9.49457400e-08 -9.50257400e-08 -9.49587400e-08 -9.49707400e-08 -9.49697400e-08 -9.49817400e-08 -9.49827400e-08 -9.49947400e-08 -9.49937400e-08 -9.50057400e-08 -9.51097400e-08 -9.52677400e-08  4.22600000e-11  9.51942600e-08  4.42600000e-11  4.52600000e-11  4.22600000e-11  4.12600000e-11  4.12600000e-11  3.82600000e-11  4.02600000e-11  4.12600000e-11  4.22600000e-11  4.32600000e-11  4.12600000e-11  4.12600000e-11  4.32600000e-11  4.42600000e-11  4.32600000e-11  4.22600000e-11  4.32600000e-11  4.42600000e-11  4.32600000e-11  4.22600000e-11  4.22600000e-11  4.12600000e-11  4.12600000e-11  4.02600000e-11  4.32600000e-11  4.62600000e-11  4.22600000e-11  4.02600000e-11  4.12600000e-11  4.22600000e-11  4.22600000e-11  4.22600000e-11  4.12600000e-11  4.02600000e-11  4.12600000e-11  4.22600000e-11  4.22600000e-11  4.12600000e-11  4.02600000e-11  4.02600000e-11  4.22600000e-11  4.32600000e-11  4.12600000e-11  4.12600000e-11  4.02600000e-11  3.92600000e-11  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.02600000e-11  3.92600000e-11  4.02600000e-11  4.12600000e-11  4.12600000e-11  4.02600000e-11  3.92600000e-11  3.92600000e-11  4.12600000e-11],linear,vector,UE-UE-Synchronization,20240511-22:47:48,20240511-224748,UE-UE-Synchronization,omnetpp.ini,,,,,UseCase2,3904,0,#0,results,0,0
1,UE-UE-Synchronization-0-20240511-22:47:48-3904,UseCase2.Sensor.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12500029 0.12500029 0.24999904 0.24999904 0.37499779 0.37499779 0.49999654 0.49999654 0.62499529 0.62499529 0.74999404 0.74999404 0.87499279 0.87499279 0.99999154 0.99999154 1.12499029 1.12499029 1.24998904 1.24998904 1.37498779 1.37498779 1.49998654 1.49998654 1.62498529 1.62498529 1.74998404 1.74998404 1.87498279 1.87498279 1.99998154 1.99998154 2.12498029 2.12498029 2.24997904 2.24997904 2.37497779 2.37497779 2.49997654 2.49997654 2.62497529 2.62497529 2.74997404 2.74997404 2.87497279 2.87497279 2.99997154 2.99997154 3.12497029 3.12497029 3.24996904 3.24996904 3.37496779 3.37496779 3.49996654 3.49996654 3.62496529 3.62496529 3.74996404 3.74996404 3.87496279 3.87496279 3.99996154 3.99996154 4.12496029 4.12496029 4.24995904 4.24995904 4.37495779 4.37495779 4.49995654 4.49995654 4.62495529 4.62495529 4.74995404 4.74995404 4.87495279 4.87495279 4.99995154 4.99995154],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.88551812e-06  2.48119870e-10  5.88569362e-06  2.47619750e-10  2.48119620e-10  2.05119620e-10  1.62619500e-10  2.05619500e-10  2.05119370e-10  2.05119370e-10  2.05619250e-10  2.04619250e-10  2.03119120e-10  2.05119120e-10  2.06619000e-10 -3.81000004e-13 -1.88113000e-12  1.18869997e-13  1.61875000e-12 -3.81250004e-13 -1.88138000e-12  1.18619997e-13  1.61849999e-12 -3.81500006e-13 -8.81630005e-13  1.11836999e-12  1.61824999e-12 -3.81750004e-13 -8.81880008e-13  1.18119995e-13 -3.82000008e-13 -3.82000008e-13  1.17869995e-13  1.17869995e-13 -3.82250004e-13 -3.82250004e-13  1.17619995e-13  1.17619995e-13 -3.82500011e-13 -3.82500011e-13  1.17369991e-13  1.17369991e-13  6.17249992e-13  6.17249992e-13  1.17119991e-13  1.17119991e-13  6.16999988e-13 -3.83000011e-13 -1.88313000e-12  1.16869994e-13  1.61674999e-12 -3.83250005e-13 -1.88338001e-12  1.16619991e-13  1.61649999e-12 -3.83500008e-13 -1.88363001e-12  1.16369987e-13  1.61624999e-12 -3.83750011e-13 -8.83880012e-13  1.16119991e-13 -3.84000022e-13 -3.84000022e-13  1.15869987e-13  1.15869987e-13 -3.84250005e-13 -3.84250005e-13  1.15619991e-13  1.15619991e-13 -3.84500015e-13 -3.84500015e-13  1.15369987e-13  1.15369987e-13 -3.84750012e-13 -3.84750012e-13  1.15119990e-13  1.15119990e-13  6.14999981e-13 -3.85000015e-13],linear,vector,UE-UE-Synchronization,20240511-22:47:48,20240511-224748,UE-UE-Synchronization,omnetpp.ini,,,,,UseCase2,3904,0,#0,results,0,0
2,UE-UE-Synchronization-0-20240511-22:47:48-3904,UseCase2.switchTSN2.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.13500284 0.13500284 0.25950284 0.25950284 0.38450284 0.38450284 0.50950284 0.50950284 0.63450284 0.63450284 0.75950284 0.75950284 0.88450284 0.88450284 1.00950284 1.00950284 1.13450284 1.13450284 1.25950284 1.25950284 1.38450284 1.38450284 1.50950284 1.50950284 1.63450284 1.63450284 1.75950284 1.75950284 1.88450284 1.88450284 2.00950284 2.00950284 2.13450284 2.13450284 2.25950284 2.25950284 2.38450284 2.38450284 2.50950284 2.50950284 2.63450284 2.63450284 2.75950284 2.75950284 2.88450284 2.88450284 3.00950284 3.00950284 3.13450284 3.13450284 3.25950284 3.25950284 3.38450284 3.38450284 3.50950284 3.50950284 3.63450284 3.63450284 3.75950284 3.75950284 3.88450284 3.88450284 4.00950284 4.00950284 4.13450284 4.13450284 4.25950284 4.25950284 4.38450284 4.38450284 4.50950284 4.50950284 4.63450284 4.63450284 4.75950284 4.75950284 4.88450284 4.88450284],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.45096764e-06 -9.98313600e-08  4.00486464e-06 -9.48443600e-08 -8.98373600e-08 -9.49023600e-08 -9.49613600e-08 -9.49153600e-08 -9.49273600e-08 -9.49273600e-08 -9.49393600e-08 -9.49393600e-08 -9.49513600e-08 -9.49513600e-08 -9.49643600e-08 -9.51093600e-08 -9.51223600e-08  4.16400000e-11  9.51926400e-08  4.36400000e-11  4.46400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.26400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.26400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.26400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11  4.26400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11  4.36400000e-11  4.16400000e-11  3.96400000e-11  4.16400000e-11  4.26400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.26400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.26400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11  4.26400000e-11  4.16400000e-11  4.16400000e-11  4.06400000e-11  3.96400000e-11  4.06400000e-11  4.16400000e-11  4.06400000e-11  3.96400000e-11  4.06400000e-11  4.16400000e-11  4.06400000e-11  3.96400000e-11  4.06400000e-11  4.16400000e-11  4.06400000e-11  4.06400000e-11  4.16400000e-11],linear,vector,UE-UE-Synchronization,20240511-22:47:48,20240511-224748,UE-UE-Synchronization,omnetpp.ini,,,,,UseCase2,3904,0,#0,results,0,0
