run,type,module,name,attrname,attrvalue,vectime,vecvalue
DL-Synchronization-0-20240411-16:22:00-65369,config,,,*.ue.nrMacCellId,1,,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,*.ue.nrMasterId,1,,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,*.ue.intHostAddress,"""Sensor Actuator DSTT""",,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,**.amcType,"""NRAmc""",,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,**.targetBler,0.000001,,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,**.blerShift,5,,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,**.numerologyIndex,1,,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,**.useTdd,true,,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,**.numBands,200,,
DL-Synchronization-0-20240411-16:22:00-65369,config,,,*.NSTT.**.translatorType,"""NS_TT""",,
