,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,DL-Synchronization-0-20240511-22:35:07-3904,UseCase.Actuator.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12750437 0.12750437 0.25250437 0.25250437 0.37750349 0.37750349 0.50200437 0.50200437 0.62700437 0.62700437 0.75200437 0.75200437 0.87700437 0.87700437 1.00200437 1.00200437 1.12700437 1.12700437 1.25200437 1.25200437 1.37700437 1.37700437 1.50200437 1.50200437 1.62700437 1.62700437 1.75200437 1.75200437 1.87700437 1.87700437 2.00200437 2.00200437 2.12700437 2.12700437 2.25200437 2.25200437 2.37700437 2.37700437 2.50200437 2.50200437 2.62700437 2.62700437 2.75200437 2.75200437 2.87700437 2.87700437 3.00200437 3.00200437 3.12700437 3.12700437 3.25200437 3.25200437 3.37700437 3.37700437 3.50200437 3.50200437 3.62700437 3.62700437 3.75200437 3.75200437 3.87700437 3.87700437 4.00200437 4.00200437 4.12700437 4.12700437 4.25200437 4.25200437 4.37700437 4.37700437 4.50200437 4.50200437 4.62700437 4.62700437 4.75200437 4.75200437 4.87700437 4.87700437],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.07161813e-05 -2.44817400e-08  1.04812183e-05 -2.45217400e-08 -2.45619400e-08 -1.96759400e-08 -1.48487400e-08 -1.96867400e-08 -1.96977400e-08 -1.96987400e-08 -1.97117400e-08 -1.97127400e-08 -1.97257400e-08 -1.97247400e-08 -1.97367400e-08 -2.01067400e-08 -2.03247400e-08  4.42600000e-11  2.01952600e-08  4.42600000e-11  4.42600000e-11  4.32600000e-11  4.22600000e-11  4.32600000e-11  4.32600000e-11  4.32600000e-11  4.22600000e-11  4.32600000e-11  4.32600000e-11  4.22600000e-11  4.22600000e-11  4.22600000e-11  4.12600000e-11  4.32600000e-11  4.52600000e-11  4.42600000e-11  4.52600000e-11  4.42600000e-11  4.42600000e-11  4.52600000e-11  4.62600000e-11  4.32600000e-11  4.12600000e-11  4.32600000e-11  4.32600000e-11  4.32600000e-11  4.12600000e-11  4.22600000e-11  4.32600000e-11  4.22600000e-11  4.22600000e-11  4.22600000e-11  4.12600000e-11  4.22600000e-11  4.32600000e-11  4.52600000e-11  4.82600000e-11  4.42600000e-11  4.32600000e-11  4.42600000e-11  4.42600000e-11  4.42600000e-11  4.32600000e-11  4.32600000e-11  4.32600000e-11  4.12600000e-11  3.82600000e-11  4.12600000e-11  4.22600000e-11  4.12600000e-11  4.12600000e-11  4.32600000e-11  4.52600000e-11  4.22600000e-11  4.12600000e-11  4.22600000e-11  4.22600000e-11  4.32600000e-11],linear,vector,DL-Synchronization,20240511-22:35:07,20240511-223507,DL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
2,DL-Synchronization-0-20240511-22:35:07-3904,UseCase.PLC.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12500029 0.12500029 0.24999904 0.24999904 0.37499779 0.37499779 0.49999654 0.49999654 0.62499529 0.62499529 0.74999404 0.74999404 0.87499279 0.87499279 0.99999154 0.99999154 1.12499029 1.12499029 1.24998904 1.24998904 1.37498779 1.37498779 1.49998654 1.49998654 1.62498529 1.62498529 1.74998404 1.74998404 1.87498279 1.87498279 1.99998227 1.99998227 2.12498029 2.12498029 2.24997904 2.24997904 2.37497779 2.37497779 2.49997654 2.49997654 2.62497529 2.62497529 2.74997404 2.74997404 2.87497279 2.87497279 2.99997227 2.99997227 3.12497029 3.12497029 3.24996904 3.24996904 3.37496779 3.37496779 3.49996654 3.49996654 3.62496529 3.62496529 3.74996404 3.74996404 3.87496279 3.87496279 3.99996227 3.99996227 4.12496029 4.12496029 4.24995904 4.24995904 4.37495779 4.37495779 4.49995654 4.49995654 4.62495529 4.62495529 4.74995404 4.74995404 4.87495279 4.87495279 4.99995227 4.99995227],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.12118912e-06  1.74119870e-10  4.12131362e-06  1.73619750e-10  1.73119620e-10  1.44119620e-10  1.14619500e-10  1.43619500e-10  1.43119370e-10  1.44119370e-10  1.44619250e-10  1.44619250e-10  1.44119120e-10  1.44119120e-10  1.44619000e-10 -3.81000004e-13 -8.81130004e-13  1.18869997e-13  6.18749997e-13 -3.81250004e-13 -8.81380003e-13  1.18619997e-13  6.18499995e-13  6.18499995e-13  1.18369995e-13  1.18369995e-13  6.18249995e-13 -3.81750004e-13 -8.81880008e-13  1.18119995e-13  1.25799999e-12  2.57999991e-13 -8.82130005e-13  1.17869995e-13  6.17749995e-13 -3.82250004e-13 -8.82380005e-13  1.11761999e-12  1.61749999e-12 -3.82500011e-13 -8.82630008e-13  1.17369991e-13  6.17249992e-13 -3.82750008e-13 -8.82880008e-13  1.17119991e-13  2.56999988e-13 -7.43000012e-13 -8.83130008e-13  1.11686999e-12  1.61674999e-12 -3.83250005e-13 -8.83380012e-13  1.16619991e-13  6.16499995e-13 -3.83500008e-13 -8.83630009e-13  1.16369987e-13  6.16249991e-13 -3.83750011e-13 -8.83880012e-13  1.11611999e-12  2.25599999e-12  2.55999987e-13 -8.84130016e-13  1.15869987e-13  6.15749991e-13 -3.84250005e-13 -8.84380005e-13  1.15619991e-13  6.15499988e-13 -3.84500015e-13 -8.84630016e-13  1.11536998e-12  1.61524999e-12 -3.84750012e-13 -8.84880012e-13  1.15119990e-13  1.25499998e-12  2.54999974e-13],linear,vector,DL-Synchronization,20240511-22:35:07,20240511-223507,DL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
3,DL-Synchronization-0-20240511-22:35:07-3904,UseCase.Sensor.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12750437 0.12750437 0.25250437 0.25250437 0.37750349 0.37750349 0.50200437 0.50200437 0.62700437 0.62700437 0.75200437 0.75200437 0.87700437 0.87700437 1.00200437 1.00200437 1.12700437 1.12700437 1.25200437 1.25200437 1.37700437 1.37700437 1.50200437 1.50200437 1.62700437 1.62700437 1.75200437 1.75200437 1.87700437 1.87700437 2.00200437 2.00200437 2.12700437 2.12700437 2.25200437 2.25200437 2.37700437 2.37700437 2.50200437 2.50200437 2.62700437 2.62700437 2.75200437 2.75200437 2.87700437 2.87700437 3.00200437 3.00200437 3.12700437 3.12700437 3.25200437 3.25200437 3.37700437 3.37700437 3.50200437 3.50200437 3.62700437 3.62700437 3.75200437 3.75200437 3.87700437 3.87700437 4.00200437 4.00200437 4.12700437 4.12700437 4.25200437 4.25200437 4.37700437 4.37700437 4.50200437 4.50200437 4.62700437 4.62700437 4.75200437 4.75200437 4.87700437 4.87700437],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.87482226e-06 -2.48067400e-08  2.79354926e-06 -2.48467400e-08 -2.48859400e-08 -1.99439400e-08 -1.50607400e-08 -1.99567400e-08 -1.99707400e-08 -1.99697400e-08 -1.99817400e-08 -1.99817400e-08 -1.99927400e-08 -1.99927400e-08 -2.00057400e-08 -2.01087400e-08 -2.03277400e-08  4.22600000e-11  2.01922600e-08  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.12600000e-11  4.22600000e-11  4.32600000e-11  4.12600000e-11  4.02600000e-11  4.22600000e-11  4.12600000e-11  4.32600000e-11  4.52600000e-11  4.32600000e-11  4.22600000e-11  4.22600000e-11  4.32600000e-11  4.52600000e-11  4.62600000e-11  4.12600000e-11  3.82600000e-11  4.22600000e-11  4.32600000e-11  4.22600000e-11  4.12600000e-11  4.32600000e-11  4.52600000e-11  4.22600000e-11  4.02600000e-11  4.12600000e-11  4.12600000e-11  4.22600000e-11  4.22600000e-11  4.32600000e-11  4.52600000e-11  4.32600000e-11  4.22600000e-11  4.22600000e-11  4.32600000e-11  4.42600000e-11  4.52600000e-11  4.32600000e-11  4.22600000e-11  4.12600000e-11  4.02600000e-11  4.12600000e-11  4.02600000e-11  4.02600000e-11  4.12600000e-11  4.32600000e-11  4.42600000e-11  4.02600000e-11  3.82600000e-11  4.12600000e-11  4.22600000e-11  4.22600000e-11],linear,vector,DL-Synchronization,20240511-22:35:07,20240511-223507,DL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
1,DL-Synchronization-0-20240511-22:35:07-3904,UseCase.switchTSN.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12750284 0.12750284 0.25250284 0.25250284 0.37750196 0.37750196 0.50200284 0.50200284 0.62700284 0.62700284 0.75200284 0.75200284 0.87700284 0.87700284 1.00200284 1.00200284 1.12700284 1.12700284 1.25200284 1.25200284 1.37700284 1.37700284 1.50200284 1.50200284 1.62700284 1.62700284 1.75200284 1.75200284 1.87700284 1.87700284 2.00200284 2.00200284 2.12700284 2.12700284 2.25200284 2.25200284 2.37700284 2.37700284 2.50200284 2.50200284 2.62700284 2.62700284 2.75200284 2.75200284 2.87700284 2.87700284 3.00200284 3.00200284 3.12700284 3.12700284 3.25200284 3.25200284 3.37700284 3.37700284 3.50200284 3.50200284 3.62700284 3.62700284 3.75200284 3.75200284 3.87700284 3.87700284 4.00200284 4.00200284 4.12700284 4.12700284 4.25200284 4.25200284 4.37700284 4.37700284 4.50200284 4.50200284 4.62700284 4.62700284 4.75200284 4.75200284 4.87700284 4.87700284],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.00334764e-06 -2.47503600e-08  5.86075464e-06 -2.47633600e-08 -2.47765600e-08 -1.98405600e-08 -1.49173600e-08 -1.98523600e-08 -1.98443600e-08 -1.98643600e-08 -1.98763600e-08 -1.98773600e-08 -1.98903600e-08 -1.98893600e-08 -1.99013600e-08 -2.01083600e-08 -2.01213600e-08  4.26400000e-11  2.01936400e-08  4.36400000e-11  4.36400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11  4.36400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11  4.36400000e-11  4.26400000e-11  4.26400000e-11  4.26400000e-11  4.26400000e-11  4.36400000e-11  4.46400000e-11  4.26400000e-11  4.16400000e-11  4.26400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11  4.36400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.36400000e-11  4.56400000e-11  4.26400000e-11  4.16400000e-11  4.26400000e-11  4.26400000e-11  4.26400000e-11  4.26400000e-11  4.36400000e-11  4.46400000e-11  4.26400000e-11  4.06400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11  4.36400000e-11  4.16400000e-11  4.06400000e-11  4.16400000e-11  4.16400000e-11  4.26400000e-11],linear,vector,DL-Synchronization,20240511-22:35:07,20240511-223507,DL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
