,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,UL-Synchronization-0-20240511-22:44:32-3904,UseCase.Actuator.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12500029 0.12500029 0.24999904 0.24999904 0.37499779 0.37499779 0.49999654 0.49999654 0.62499529 0.62499529 0.74999404 0.74999404 0.87499279 0.87499279 0.99999154 0.99999154 1.12499029 1.12499029 1.24998904 1.24998904 1.37498779 1.37498779 1.49998654 1.49998654 1.62498529 1.62498529 1.74998404 1.74998404 1.87498279 1.87498279 1.99998154 1.99998154 2.12498029 2.12498029 2.24997904 2.24997904 2.37497779 2.37497779 2.49997654 2.49997654 2.62497529 2.62497529 2.74997404 2.74997404 2.87497279 2.87497279 2.99997154 2.99997154 3.12497029 3.12497029 3.24996904 3.24996904 3.37496779 3.37496779 3.49996654 3.49996654 3.62496529 3.62496529 3.74996404 3.74996404 3.87496279 3.87496279 3.99996154 3.99996154 4.12496029 4.12496029 4.24995904 4.24995904 4.37495779 4.37495779 4.49995654 4.49995654 4.62495529 4.62495529 4.74995404 4.74995404 4.87495279 4.87495279 4.99995154 4.99995154],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.05057231e-05  4.43119870e-10  1.05060386e-05  4.43619750e-10  4.43119620e-10  3.67119620e-10  2.90619500e-10  3.65619500e-10  3.65119370e-10  3.67119370e-10  3.67619250e-10  3.66619250e-10  3.67119120e-10  3.67119120e-10  3.66619000e-10 -3.81000004e-13 -8.81130004e-13  1.18869997e-13  1.61875000e-12 -3.81250004e-13 -1.88138000e-12  1.18619997e-13  6.18499995e-13 -3.81500006e-13  1.18369995e-13  1.18369995e-13 -3.81750004e-13 -3.81750004e-13 -8.81880008e-13  1.18119995e-13  1.61799999e-12 -3.82000008e-13 -1.88213000e-12  1.17869995e-13  6.17749995e-13 -3.82250004e-13  1.17619995e-13  1.17619995e-13 -3.82500011e-13 -3.82500011e-13 -8.82630008e-13  1.17369991e-13  1.61724999e-12 -3.82750008e-13 -1.88288001e-12  1.17119991e-13  6.16999988e-13 -3.83000011e-13  1.16869994e-13  1.16869994e-13 -3.83250005e-13 -3.83250005e-13 -8.83380012e-13  1.16619991e-13  1.61649999e-12 -3.83500008e-13 -1.88363001e-12  1.16369987e-13  6.16249991e-13 -3.83750011e-13  1.16119991e-13  1.16119991e-13 -3.84000022e-13 -3.84000022e-13 -8.84130016e-13 -8.84130016e-13 -3.84250005e-13 -3.84250005e-13 -8.84380005e-13  1.15619991e-13  6.15499988e-13 -1.38450002e-12 -1.88463002e-12  1.15369987e-13  6.15249991e-13 -3.84750012e-13 -8.84880012e-13 -8.84880012e-13 -3.85000015e-13 -3.85000015e-13],linear,vector,UL-Synchronization,20240511-22:44:32,20240511-224432,UL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
2,UL-Synchronization-0-20240511-22:44:32-3904,UseCase.PLC.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.13250604 0.13250604 0.25700604 0.25700604 0.38200604 0.38200604 0.50700604 0.50700604 0.63200604 0.63200604 0.75700604 0.75700604 0.88200604 0.88200604 1.00700604 1.00700604 1.13200604 1.13200604 1.25700604 1.25700604 1.38200604 1.38200604 1.50700604 1.50700604 1.63200604 1.63200604 1.75700604 1.75700604 1.88200604 1.88200604 2.00700604 2.00700604 2.13200604 2.13200604 2.25700604 2.25700604 2.38200604 2.38200604 2.50700604 2.50700604 2.63200604 2.63200604 2.75700604 2.75700604 2.88200604 2.88200604 3.00700604 3.00700604 3.13200604 3.13200604 3.25700604 3.25700604 3.38200604 3.38200604 3.50700604 3.50700604 3.63200604 3.63200604 3.75700604 3.75700604 3.88200604 3.88200604 4.00700604 4.00700604 4.13200604 4.13200604 4.25700604 4.25700604 4.38200604 4.38200604 4.50700604 4.50700604 4.63200604 4.63200604 4.75700604 4.75700604 4.88200604 4.88200604],[ 0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  4.3686496e-06 -7.4736400e-08  4.0299596e-06 -6.9777400e-08 -6.4798400e-08 -6.9909400e-08 -7.0042400e-08 -6.9922400e-08 -6.9934400e-08 -6.9934400e-08 -6.9947400e-08 -6.9947400e-08 -6.9958400e-08 -6.9959400e-08 -6.9972400e-08 -7.0117400e-08 -7.0335400e-08  4.4600000e-11  7.0207600e-08  4.5600000e-11  4.5600000e-11  4.4600000e-11  4.4600000e-11  4.3600000e-11  4.1600000e-11  4.4600000e-11  4.6600000e-11  4.2600000e-11  3.9600000e-11  4.3600000e-11  4.5600000e-11  4.2600000e-11  4.1600000e-11  4.4600000e-11  4.5600000e-11  4.2600000e-11  4.1600000e-11  4.5600000e-11  4.7600000e-11  4.3600000e-11  4.2600000e-11  4.4600000e-11  4.4600000e-11  4.3600000e-11  4.3600000e-11  4.4600000e-11  4.4600000e-11  4.2600000e-11  4.2600000e-11  4.2600000e-11  4.1600000e-11  4.1600000e-11  4.2600000e-11  4.2600000e-11  4.2600000e-11  4.2600000e-11  4.1600000e-11  4.2600000e-11  4.3600000e-11  4.2600000e-11  4.1600000e-11  4.3600000e-11  4.5600000e-11  4.2600000e-11  4.0600000e-11  4.3600000e-11  4.5600000e-11  4.2600000e-11  4.0600000e-11  4.3600000e-11  4.5600000e-11  4.1600000e-11  3.9600000e-11  4.3600000e-11  4.4600000e-11  4.1600000e-11  4.0600000e-11  4.3600000e-11],linear,vector,UL-Synchronization,20240511-22:44:32,20240511-224432,UL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
3,UL-Synchronization-0-20240511-22:44:32-3904,UseCase.Sensor.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12500029 0.12500029 0.24999904 0.24999904 0.37499779 0.37499779 0.49999654 0.49999654 0.62499529 0.62499529 0.74999404 0.74999404 0.87499279 0.87499279 0.99999154 0.99999154 1.12499029 1.12499029 1.24998904 1.24998904 1.37498779 1.37498779 1.49998654 1.49998654 1.62498529 1.62498529 1.74998404 1.74998404 1.87498279 1.87498279 1.99998154 1.99998154 2.12498029 2.12498029 2.24997904 2.24997904 2.37497779 2.37497779 2.49997654 2.49997654 2.62497529 2.62497529 2.74997404 2.74997404 2.87497279 2.87497279 2.99997154 2.99997154 3.12497029 3.12497029 3.24996904 3.24996904 3.37496779 3.37496779 3.49996654 3.49996654 3.62496529 3.62496529 3.74996404 3.74996404 3.87496279 3.87496279 3.99996154 3.99996154 4.12496029 4.12496029 4.24995904 4.24995904 4.37495779 4.37495779 4.49995654 4.49995654 4.62495529 4.62495529 4.74995404 4.74995404 4.87495279 4.87495279 4.99995154 4.99995154],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.81836212e-06  1.18119870e-10  2.81844662e-06  1.17619750e-10  1.17119620e-10  9.71196200e-11  7.66195000e-11  9.76195000e-11  9.81193700e-11  9.81193700e-11  9.86192500e-11  9.76192500e-11  9.71191200e-11  9.81191200e-11  9.86190000e-11 -3.81000004e-13 -1.88113000e-12 -8.81130004e-13 -3.81250004e-13 -1.38125000e-12 -1.88138000e-12 -8.81380003e-13 -3.81500006e-13 -3.81500006e-13  1.18369995e-13  1.18369995e-13  6.18249995e-13 -3.81750004e-13 -8.81880008e-13  1.18119995e-13  6.17999995e-13 -3.82000008e-13 -8.82130005e-13  1.17869995e-13 -3.82250004e-13 -1.38225000e-12 -1.88238001e-12 -8.82380005e-13 -3.82500011e-13 -3.82500011e-13  1.17369991e-13  1.17369991e-13  6.17249992e-13 -3.82750008e-13 -8.82880008e-13  1.17119991e-13  6.16999988e-13 -3.83000011e-13 -8.83130008e-13  1.16869994e-13 -3.83250005e-13 -1.38325001e-12 -1.88338001e-12 -8.83380012e-13 -3.83500008e-13 -1.38350001e-12 -1.88363001e-12  1.16369987e-13  1.61624999e-12 -3.83750011e-13 -8.83880012e-13  1.16119991e-13  6.15999981e-13 -3.84000022e-13 -8.84130016e-13  1.15869987e-13  6.15749991e-13 -3.84250005e-13 -1.88438001e-12 -8.84380005e-13 -3.84500015e-13 -1.38450002e-12 -1.88463002e-12  1.15369987e-13  1.61524999e-12 -3.84750012e-13 -8.84880012e-13  1.15119990e-13  6.14999981e-13 -3.85000015e-13],linear,vector,UL-Synchronization,20240511-22:44:32,20240511-224432,UL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
1,UL-Synchronization-0-20240511-22:44:32-3904,UseCase.switch5GC.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.1325045 0.1325045 0.2570045 0.2570045 0.3820045 0.3820045 0.5070045 0.5070045 0.6320045 0.6320045 0.7570045 0.7570045 0.8820045 0.8820045 1.0070045 1.0070045 1.1320045 1.1320045 1.2570045 1.2570045 1.3820045 1.3820045 1.5070045 1.5070045 1.6320045 1.6320045 1.7570045 1.7570045 1.8820045 1.8820045 2.0070045 2.0070045 2.1320045 2.1320045 2.2570045 2.2570045 2.3820045 2.3820045 2.5070045 2.5070045 2.6320045 2.6320045 2.7570045 2.7570045 2.8820045 2.8820045 3.0070045 3.0070045 3.1320045 3.1320045 3.2570045 3.2570045 3.3820045 3.3820045 3.5070045 3.5070045 3.6320045 3.6320045 3.7570045 3.7570045 3.8820045 3.8820045 4.0070045 4.0070045 4.1320045 4.1320045 4.2570045 4.2570045 4.3820045 4.3820045 4.5070045 4.5070045 4.6320045 4.6320045 4.7570045 4.7570045 4.8820045 4.8820045],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.23884698e-06 -7.47350200e-08  5.78722798e-06 -6.97480200e-08 -6.47410200e-08 -6.98500200e-08 -6.99530200e-08 -6.98640200e-08 -6.98770200e-08 -6.98760200e-08 -6.98880200e-08 -6.98890200e-08 -6.99020200e-08 -6.99010200e-08 -6.99130200e-08 -7.01190200e-08 -7.01310200e-08  4.39800000e-11  7.02069800e-08  4.39800000e-11  4.39800000e-11  4.39800000e-11  4.39800000e-11  4.29800000e-11  4.19800000e-11  4.39800000e-11  4.49800000e-11  4.29800000e-11  4.09800000e-11  4.29800000e-11  4.39800000e-11  4.19800000e-11  4.09800000e-11  4.29800000e-11  4.39800000e-11  4.19800000e-11  4.09800000e-11  4.39800000e-11  4.59800000e-11  4.29800000e-11  4.19800000e-11  4.39800000e-11  4.49800000e-11  4.29800000e-11  4.19800000e-11  4.39800000e-11  4.49800000e-11  4.29800000e-11  4.19800000e-11  4.39800000e-11  4.39800000e-11  4.19800000e-11  4.09800000e-11  4.29800000e-11  4.39800000e-11  4.19800000e-11  4.09800000e-11  4.29800000e-11  4.39800000e-11  4.19800000e-11  4.09800000e-11  4.39800000e-11  4.59800000e-11  4.29800000e-11  4.19800000e-11  4.39800000e-11  4.49800000e-11  4.29800000e-11  4.19800000e-11  4.39800000e-11  4.49800000e-11  4.29800000e-11  4.19800000e-11  4.39800000e-11  4.39800000e-11  4.19800000e-11  4.09800000e-11  4.29800000e-11],linear,vector,UL-Synchronization,20240511-22:44:32,20240511-224432,UL-Synchronization,omnetpp.ini,,,,,UseCase,3904,0,#0,results,0,0
