,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,u,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,UL-Synchronization-0-20240411-19:30:04-80648,UseCase.Actuator.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12500029 0.12500029 0.24999904 0.24999904 0.37499779 0.37499779 0.49999654 0.49999654 0.62499529 0.62499529 0.74999404 0.74999404 0.87499279 0.87499279 0.99999154 0.99999154 1.12499029 1.12499029 1.24998904 1.24998904 1.37498779 1.37498779 1.49998654 1.49998654 1.62498529 1.62498529 1.74998404 1.74998404 1.87498279 1.87498279 1.99998154 1.99998154 2.12498029 2.12498029 2.24997904 2.24997904 2.37497779 2.37497779 2.49997654 2.49997654 2.62497529 2.62497529 2.74997404 2.74997404 2.87497279 2.87497279 2.99997154 2.99997154 3.12497029 3.12497029 3.24996904 3.24996904 3.37496779 3.37496779 3.49996654 3.49996654 3.62496529 3.62496529 3.74996404 3.74996404 3.87496279 3.87496279 3.99996154 3.99996154 4.12496029 4.12496029 4.24995904 4.24995904 4.37495779 4.37495779 4.49995654 4.49995654 4.62495529 4.62495529 4.74995404 4.74995404 4.87495279 4.87495279 4.99995154 4.99995154],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.05057231e-05  4.43119870e-10  1.05060386e-05  4.43619750e-10  4.43119620e-10  3.67119620e-10  2.90619500e-10  3.65619500e-10  3.65119370e-10  3.67119370e-10  3.67619250e-10  3.66619250e-10  3.67119120e-10  3.67119120e-10  3.66619000e-10 -3.81000004e-13 -8.81130004e-13  1.18869997e-13  1.61875000e-12 -3.81250004e-13 -1.88138000e-12  1.18619997e-13  6.18499995e-13 -3.81500006e-13  1.18369995e-13  1.18369995e-13 -3.81750004e-13 -3.81750004e-13 -8.81880008e-13  1.18119995e-13  1.61799999e-12 -3.82000008e-13 -1.88213000e-12  1.17869995e-13  6.17749995e-13 -3.82250004e-13  1.17619995e-13  1.17619995e-13 -3.82500011e-13 -3.82500011e-13 -8.82630008e-13  1.17369991e-13  1.61724999e-12 -3.82750008e-13 -1.88288001e-12  1.17119991e-13  6.16999988e-13 -3.83000011e-13  1.16869994e-13  1.16869994e-13 -3.83250005e-13 -3.83250005e-13 -8.83380012e-13  1.16619991e-13  1.61649999e-12 -3.83500008e-13 -1.88363001e-12  1.16369987e-13  6.16249991e-13 -3.83750011e-13  1.16119991e-13  1.16119991e-13 -3.84000022e-13 -3.84000022e-13 -8.84130016e-13 -8.84130016e-13 -3.84250005e-13 -3.84250005e-13 -8.84380005e-13  1.15619991e-13  6.15499988e-13 -1.38450002e-12 -1.88463002e-12  1.15369987e-13  6.15249991e-13 -3.84750012e-13 -8.84880012e-13 -8.84880012e-13 -3.85000015e-13 -3.85000015e-13],linear,vector,1,UL-Synchronization,20240411-19:30:04,20240411-193004,UL-Synchronization,omnetpp.ini,$u=1,u=1,u=1-,$u=1,UseCase,80648,0,#0,results,0,0
2,UL-Synchronization-0-20240411-19:30:04-80648,UseCase.PLC.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.13050604 0.13050604 0.25500604 0.25500604 0.38000604 0.38000604 0.50500604 0.50500604 0.63000604 0.63000604 0.75500604 0.75500604 0.88000604 0.88000604 1.00500604 1.00500604 1.13000604 1.13000604 1.25500604 1.25500604 1.38000604 1.38000604 1.50500604 1.50500604 1.63000604 1.63000604 1.75500604 1.75500604 1.88000604 1.88000604 2.00500604 2.00500604 2.13000604 2.13000604 2.25500604 2.25500604 2.38000604 2.38000604 2.50500604 2.50500604 2.63000604 2.63000604 2.75500604 2.75500604 2.88000604 2.88000604 3.00500604 3.00500604 3.13000604 3.13000604 3.25500604 3.25500604 3.38000604 3.38000604 3.50500604 3.50500604 3.63000604 3.63000604 3.75500604 3.75500604 3.88000604 3.88000604 4.00500604 4.00500604 4.13000604 4.13000604 4.25500604 4.25500604 4.38000604 4.38000604 4.50500604 4.50500604 4.63000604 4.63000604 4.75500604 4.75500604 4.88000604 4.88000604],[ 0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  4.3027116e-06  2.0195460e-07  4.3066496e-06  2.0691260e-07  2.1189160e-07  2.0678060e-07  2.0664760e-07  2.0676760e-07  2.0675560e-07  2.0675560e-07  2.0674360e-07  2.0674360e-07  2.0673160e-07  2.0673160e-07  2.0671960e-07  2.0677860e-07  2.0676560e-07 -2.4865400e-08 -2.5650840e-07 -2.4880400e-08 -2.4896400e-08 -2.4890400e-08 -2.4899400e-08 -2.4903400e-08 -2.4917400e-08 -2.4916400e-08 -2.4928400e-08 -2.4929400e-08 -2.4942400e-08 -2.4940400e-08 -2.4952400e-08 -2.4954400e-08 -2.4967400e-08 -2.5090400e-08 -2.5227400e-08 -2.5103400e-08 -2.5115400e-08 -2.5115400e-08 -2.5128400e-08 -2.5128400e-08 -2.5139400e-08 -2.5140400e-08 -2.5154400e-08 -2.5153400e-08 -2.5165400e-08 -2.5165400e-08 -2.5178400e-08 -2.5180400e-08 -2.5193400e-08 -2.5142400e-08 -2.5104400e-08 -2.5154400e-08 -2.5167400e-08 -2.5167400e-08 -2.5179400e-08 -2.5179400e-08 -2.5191400e-08 -2.5192400e-08 -2.5205400e-08 -2.5204400e-08 -2.5217400e-08 -2.5216400e-08 -2.5227400e-08 -2.5228400e-08 -2.5242400e-08 -2.5190400e-08 -2.5151400e-08 -2.5203400e-08 -2.5216400e-08 -2.5215400e-08 -2.5228400e-08 -2.5229400e-08 -2.5242400e-08 -2.5240400e-08 -2.5252400e-08 -2.5254400e-08 -2.5267400e-08 -2.5266400e-08],linear,vector,1,UL-Synchronization,20240411-19:30:04,20240411-193004,UL-Synchronization,omnetpp.ini,$u=1,u=1,u=1-,$u=1,UseCase,80648,0,#0,results,0,0
3,UL-Synchronization-0-20240411-19:30:04-80648,UseCase.Sensor.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12500029 0.12500029 0.24999904 0.24999904 0.37499779 0.37499779 0.49999654 0.49999654 0.62499529 0.62499529 0.74999404 0.74999404 0.87499279 0.87499279 0.99999154 0.99999154 1.12499029 1.12499029 1.24998904 1.24998904 1.37498779 1.37498779 1.49998654 1.49998654 1.62498529 1.62498529 1.74998404 1.74998404 1.87498279 1.87498279 1.99998154 1.99998154 2.12498029 2.12498029 2.24997904 2.24997904 2.37497779 2.37497779 2.49997654 2.49997654 2.62497529 2.62497529 2.74997404 2.74997404 2.87497279 2.87497279 2.99997154 2.99997154 3.12497029 3.12497029 3.24996904 3.24996904 3.37496779 3.37496779 3.49996654 3.49996654 3.62496529 3.62496529 3.74996404 3.74996404 3.87496279 3.87496279 3.99996154 3.99996154 4.12496029 4.12496029 4.24995904 4.24995904 4.37495779 4.37495779 4.49995654 4.49995654 4.62495529 4.62495529 4.74995404 4.74995404 4.87495279 4.87495279 4.99995154 4.99995154],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.81836212e-06  1.18119870e-10  2.81844662e-06  1.17619750e-10  1.17119620e-10  9.71196200e-11  7.66195000e-11  9.76195000e-11  9.81193700e-11  9.81193700e-11  9.86192500e-11  9.76192500e-11  9.71191200e-11  9.81191200e-11  9.86190000e-11 -3.81000004e-13 -1.88113000e-12 -8.81130004e-13 -3.81250004e-13 -1.38125000e-12 -1.88138000e-12 -8.81380003e-13 -3.81500006e-13 -3.81500006e-13  1.18369995e-13  1.18369995e-13  6.18249995e-13 -3.81750004e-13 -8.81880008e-13  1.18119995e-13  6.17999995e-13 -3.82000008e-13 -8.82130005e-13  1.17869995e-13 -3.82250004e-13 -1.38225000e-12 -1.88238001e-12 -8.82380005e-13 -3.82500011e-13 -3.82500011e-13  1.17369991e-13  1.17369991e-13  6.17249992e-13 -3.82750008e-13 -8.82880008e-13  1.17119991e-13  6.16999988e-13 -3.83000011e-13 -8.83130008e-13  1.16869994e-13 -3.83250005e-13 -1.38325001e-12 -1.88338001e-12 -8.83380012e-13 -3.83500008e-13 -1.38350001e-12 -1.88363001e-12  1.16369987e-13  1.61624999e-12 -3.83750011e-13 -8.83880012e-13  1.16119991e-13  6.15999981e-13 -3.84000022e-13 -8.84130016e-13  1.15869987e-13  6.15749991e-13 -3.84250005e-13 -1.88438001e-12 -8.84380005e-13 -3.84500015e-13 -1.38450002e-12 -1.88463002e-12  1.15369987e-13  1.61524999e-12 -3.84750012e-13 -8.84880012e-13  1.15119990e-13  6.14999981e-13 -3.85000015e-13],linear,vector,1,UL-Synchronization,20240411-19:30:04,20240411-193004,UL-Synchronization,omnetpp.ini,$u=1,u=1,u=1-,$u=1,UseCase,80648,0,#0,results,0,0
1,UL-Synchronization-0-20240411-19:30:04-80648,UseCase.switch5GC.gptp,"timeDifference:vector:lineartrend(-0.00001):crop(t1=0, t2=5)",[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.1305045 0.1305045 0.2550045 0.2550045 0.3800045 0.3800045 0.5050045 0.5050045 0.6300045 0.6300045 0.7550045 0.7550045 0.8800045 0.8800045 1.0050045 1.0050045 1.1300045 1.1300045 1.2550045 1.2550045 1.3800045 1.3800045 1.5050045 1.5050045 1.6300045 1.6300045 1.7550045 1.7550045 1.8800045 1.8800045 2.0050045 2.0050045 2.1300045 2.1300045 2.2550045 2.2550045 2.3800045 2.3800045 2.5050045 2.5050045 2.6300045 2.6300045 2.7550045 2.7550045 2.8800045 2.8800045 3.0050045 3.0050045 3.1300045 3.1300045 3.2550045 3.2550045 3.3800045 3.3800045 3.5050045 3.5050045 3.6300045 3.6300045 3.7550045 3.7550045 3.8800045 3.8800045 4.0050045 4.0050045 4.1300045 4.1300045 4.2550045 4.2550045 4.3800045 4.3800045 4.5050045 4.5050045 4.6300045 4.6300045 4.7550045 4.7550045 4.8800045 4.8800045],[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.14467898e-06  2.01954980e-07  6.06391798e-06  2.06941980e-07  2.11947980e-07  2.06838980e-07  2.06736980e-07  2.06825980e-07  2.06812980e-07  2.06813980e-07  2.06801980e-07  2.06800980e-07  2.06787980e-07  2.06789980e-07  2.06778980e-07  2.06776980e-07  2.06763980e-07 -2.48660200e-08 -2.48780200e-08 -2.48790200e-08 -2.48920200e-08 -2.48910200e-08 -2.49030200e-08 -2.49040200e-08 -2.49170200e-08 -2.49160200e-08 -2.49290200e-08 -2.49300200e-08 -2.49430200e-08 -2.49420200e-08 -2.49540200e-08 -2.49550200e-08 -2.49680200e-08 -2.50920200e-08 -2.51040200e-08 -2.51040200e-08 -2.51160200e-08 -2.51160200e-08 -2.51280200e-08 -2.51290200e-08 -2.51420200e-08 -2.51410200e-08 -2.51530200e-08 -2.51540200e-08 -2.51670200e-08 -2.51660200e-08 -2.51780200e-08 -2.51790200e-08 -2.51930200e-08 -2.51420200e-08 -2.51540200e-08 -2.51550200e-08 -2.51680200e-08 -2.51670200e-08 -2.51790200e-08 -2.51800200e-08 -2.51930200e-08 -2.51920200e-08 -2.52040200e-08 -2.52040200e-08 -2.52160200e-08 -2.52160200e-08 -2.52280200e-08 -2.52290200e-08 -2.52420200e-08 -2.51910200e-08 -2.52030200e-08 -2.52040200e-08 -2.52170200e-08 -2.52160200e-08 -2.52280200e-08 -2.52290200e-08 -2.52430200e-08 -2.52420200e-08 -2.52540200e-08 -2.52550200e-08 -2.52680200e-08 -2.52670200e-08],linear,vector,1,UL-Synchronization,20240411-19:30:04,20240411-193004,UL-Synchronization,omnetpp.ini,$u=1,u=1,u=1-,$u=1,UseCase,80648,0,#0,results,0,0
